Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
1242,20,83.0,9849,7,6,2007,2007,0.0,0,0,1689,1689,1689,0,0,1689,0,0,2,0,3,1,7,0,2007.0,3,954,0,56,0,0,0,0,0.0,0,6,2007,248328
1233,90,70.0,9842,4,5,1962,1962,0.0,0,0,0,0,1224,0,0,1224,0,0,2,0,2,2,6,0,1962.0,2,462,0,0,0,0,0,0,0.0,0,3,2007,101800
1401,50,50.0,6000,6,7,1929,1950,0.0,0,0,862,862,950,208,0,1158,0,0,1,0,3,1,5,1,1929.0,1,208,0,0,112,0,0,0,0.0,0,7,2008,120000
1377,30,52.0,6292,6,5,1930,1950,0.0,384,0,384,768,790,0,0,790,0,0,1,0,2,1,4,0,1925.0,1,160,0,141,0,0,0,0,0.0,0,4,2008,91000
208,20,69.3,12493,4,5,1960,1960,0.0,419,306,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1960.0,1,312,355,0,0,0,0,0,0.0,0,4,2008,141000
1392,90,65.0,8944,5,5,1967,1967,0.0,0,0,1584,1584,1584,0,0,1584,0,0,2,0,4,2,8,0,1967.0,3,792,0,152,0,0,0,0,0.0,0,4,2009,124000
980,20,80.0,8816,5,6,1963,1963,0.0,651,0,470,1121,1121,0,0,1121,1,0,1,0,3,1,5,0,1963.0,2,480,0,80,0,0,0,0,0.0,0,6,2009,139000
484,120,32.0,4500,6,5,1998,1998,116.0,897,0,319,1216,1216,0,0,1216,1,0,2,0,2,1,5,0,1998.0,2,402,0,125,0,0,0,0,0.0,0,5,2006,164000
392,60,71.0,12209,6,5,2001,2002,0.0,690,0,114,804,804,1157,0,1961,1,0,2,1,3,1,7,1,2001.0,2,560,125,192,0,0,0,0,0.0,0,6,2009,215000
730,30,52.0,6240,4,5,1925,1950,0.0,152,0,628,780,848,0,360,1208,0,0,1,0,2,1,5,0,1962.0,2,539,0,23,112,0,0,0,0.0,0,1,2009,103000
255,20,70.0,8400,5,6,1957,1957,0.0,922,0,392,1314,1314,0,0,1314,1,0,1,0,3,1,5,0,1957.0,1,294,250,0,0,0,0,0,0.0,0,6,2010,145000
1094,20,71.0,9230,5,8,1965,1998,166.0,661,0,203,864,1200,0,0,1200,1,0,1,1,1,1,6,0,1977.0,2,884,0,64,0,0,0,0,0.0,0,10,2006,146000
1021,20,60.0,7024,4,5,2005,2005,0.0,1024,0,108,1132,1132,0,0,1132,1,0,1,1,2,1,5,0,2005.0,2,451,252,64,0,0,0,0,0.0,0,6,2008,176000
1341,20,70.0,8294,4,5,1971,1971,0.0,0,0,858,858,872,0,0,872,0,0,1,0,3,1,5,0,1974.0,4,480,0,0,0,0,0,0,0.0,0,6,2007,123000
1025,20,69.3,15498,8,6,1976,1976,0.0,1165,400,0,1565,2898,0,0,2898,1,0,2,0,2,1,10,1,1976.0,2,665,0,72,174,0,0,0,0.0,0,5,2008,287000
848,20,36.0,15523,5,6,1972,1972,0.0,460,0,404,864,864,0,0,864,1,0,1,0,3,1,5,1,1972.0,1,338,0,0,0,0,0,0,0.0,0,8,2009,133500
457,70,34.0,4571,5,5,1916,1950,0.0,0,0,624,624,624,720,0,1344,0,0,1,0,4,1,7,0,1916.0,3,513,0,0,96,0,0,0,0.0,0,5,2008,98000
1266,160,35.0,3735,7,5,1999,1999,218.0,450,0,241,691,713,739,0,1452,1,0,2,1,3,1,6,0,1999.0,2,506,0,34,0,0,0,0,0.0,0,3,2006,183900
695,50,51.0,6120,5,6,1936,1950,0.0,0,0,927,927,1067,472,0,1539,0,0,1,1,3,1,5,0,1995.0,2,576,112,0,0,0,0,0,0.0,0,4,2009,141500
24,120,44.0,4224,5,7,1976,1976,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0.0,0,6,2007,129900
1314,60,108.0,14774,9,5,1999,1999,165.0,0,0,1393,1393,1422,1177,0,2599,0,0,2,1,4,1,10,1,1999.0,3,779,668,30,0,0,0,0,0.0,0,5,2010,333168
514,20,71.0,9187,6,5,1983,1983,0.0,336,0,748,1084,1080,0,0,1080,0,0,1,1,3,1,5,0,1983.0,2,484,120,0,158,0,0,0,0.0,0,6,2007,134000
1068,60,80.0,9760,6,6,1964,1964,360.0,674,106,0,780,798,813,0,1611,1,0,1,1,4,1,7,0,1964.0,2,442,328,128,0,0,189,0,0.0,0,6,2008,167900
1423,120,37.0,4435,6,5,2003,2003,170.0,686,0,162,848,848,0,0,848,1,0,1,0,1,1,3,0,2003.0,2,420,140,0,0,0,0,0,0.0,0,3,2008,136500
1258,30,56.0,4060,5,8,1922,1950,0.0,0,0,864,864,864,0,0,864,0,0,1,0,2,1,4,0,1978.16,0,0,0,96,0,0,0,0,0.0,0,7,2009,99900
620,60,85.0,12244,8,5,2003,2003,226.0,871,0,611,1482,1482,780,0,2262,1,0,2,1,4,1,10,2,2003.0,3,749,168,0,0,0,0,0,0.0,0,8,2008,305000
1213,30,50.0,9340,4,6,1941,1950,0.0,344,0,328,672,672,0,0,672,1,0,1,0,2,1,4,0,1941.0,1,234,0,113,0,0,0,0,0.0,0,8,2009,113000
71,20,95.0,13651,7,6,1973,1973,1115.0,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,1973.0,2,516,300,0,0,0,0,0,0.0,0,2,2007,244000
732,80,73.0,9590,7,5,2003,2003,442.0,786,0,82,868,1146,0,0,1146,1,0,2,0,3,1,6,1,2003.0,2,438,160,22,0,0,0,0,0.0,0,5,2007,187500
700,120,59.0,4282,7,5,2004,2004,0.0,16,0,1375,1391,1391,0,0,1391,0,0,2,0,2,1,5,0,2004.0,2,530,156,158,0,0,0,0,0.0,0,7,2008,196000
532,70,60.0,6155,6,8,1920,1999,0.0,0,0,611,611,751,611,0,1362,0,0,2,0,3,1,6,0,1920.0,2,502,0,0,84,0,0,0,0.0,0,6,2008,128000
1326,30,40.0,3636,4,4,1922,1950,0.0,0,0,796,796,796,0,0,796,0,0,1,0,2,1,5,0,1978.16,0,0,0,0,100,0,0,0,0.0,0,1,2008,55000
988,20,83.0,10159,9,5,2009,2010,450.0,1646,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010.0,3,606,168,95,0,0,0,0,0.0,0,4,2010,395192
590,40,50.0,9100,5,6,1930,1960,0.0,0,0,742,742,779,0,156,935,0,0,1,0,2,1,4,0,1988.0,1,308,0,0,0,0,0,0,0.0,600,8,2008,79500
916,160,21.0,2001,4,5,1970,1970,80.0,0,0,546,546,546,546,0,1092,0,0,1,1,3,1,6,0,1970.0,1,286,0,0,0,0,0,0,0.0,0,1,2007,75000
303,20,118.0,13704,7,5,2001,2002,150.0,0,0,1541,1541,1541,0,0,1541,0,0,2,0,3,1,6,1,2001.0,3,843,468,81,0,0,0,0,0.0,0,1,2006,205000
507,60,80.0,9554,8,5,1993,1994,125.0,380,0,397,777,1065,846,0,1911,0,0,2,1,3,1,8,1,1993.0,2,471,182,81,0,0,0,0,0.0,0,9,2006,215000
1416,120,51.0,3635,7,5,2007,2007,130.0,988,0,398,1386,1569,0,0,1569,0,1,2,0,1,1,7,1,2007.0,3,660,143,20,0,0,0,0,0.0,0,5,2009,175900
919,60,103.0,13125,7,5,1991,1991,0.0,48,634,422,1104,912,1215,0,2127,1,0,2,1,4,1,8,1,1991.0,3,833,72,192,224,0,0,0,0.0,0,11,2007,238000
1240,20,64.0,9037,8,5,2006,2006,32.0,428,0,1048,1476,1484,0,0,1484,0,0,2,0,2,1,6,1,2006.0,2,472,120,33,0,0,0,0,0.0,0,12,2007,265900
444,120,53.0,3922,7,5,2006,2007,72.0,0,0,1258,1258,1258,0,0,1258,0,0,2,0,2,1,6,1,2007.0,3,648,144,16,0,0,0,0,0.0,0,6,2007,172500
1206,20,90.0,14684,7,7,1990,1991,234.0,485,177,1496,2158,2196,0,0,2196,0,0,2,0,3,1,7,1,1990.0,3,701,84,70,0,0,0,0,0.0,0,6,2009,271900
831,20,80.0,11900,6,5,1957,1957,387.0,1040,0,352,1392,1392,0,0,1392,1,0,1,1,3,1,6,2,1957.0,2,458,0,0,0,0,192,0,0.0,0,6,2008,166000
827,45,50.0,6130,5,6,1924,1950,0.0,784,0,0,784,784,0,0,784,1,0,1,0,2,1,5,0,1978.16,0,0,0,0,116,0,0,0,0.0,0,5,2008,109500
1319,20,69.3,14781,8,5,2001,2002,178.0,0,0,1753,1753,1787,0,0,1787,0,0,2,0,3,1,7,1,2001.0,3,748,198,150,0,0,0,0,0.0,0,8,2006,275000
1053,60,100.0,9500,6,6,1964,1978,272.0,442,0,374,816,1127,850,0,1977,0,1,1,1,4,1,9,1,1964.0,2,540,0,52,0,0,0,0,0.0,0,6,2007,165000
83,20,78.0,10206,8,5,2007,2007,468.0,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,2007.0,3,758,144,99,0,0,0,0,0.0,0,10,2008,245000
368,80,101.0,9150,6,5,1962,1962,305.0,371,0,728,1099,1431,0,0,1431,0,1,1,0,3,1,6,1,1962.0,1,296,64,110,0,0,0,0,0.0,0,12,2008,165000
699,20,65.0,8450,5,8,1965,2009,0.0,553,117,224,894,894,0,0,894,1,0,1,0,3,1,5,1,1973.0,1,336,416,144,0,0,0,0,0.0,0,4,2010,138500
1244,20,107.0,13891,10,5,2006,2006,108.58,1386,0,690,2076,2076,0,0,2076,1,0,2,1,2,1,7,1,2006.0,3,850,216,229,0,0,0,0,0.0,0,9,2006,465000
103,90,64.0,7018,5,5,1979,1979,0.0,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,1979.0,2,410,0,0,0,0,0,0,0.0,0,6,2009,118964
61,20,63.0,13072,6,5,2004,2004,0.0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2006.0,2,576,0,50,0,0,0,0,0.0,0,5,2006,158000
1150,70,50.0,9000,7,9,1920,1988,0.0,624,0,26,650,832,650,0,1482,0,1,1,0,3,1,7,0,1930.0,2,324,0,0,0,0,0,0,0.0,0,7,2009,143000
235,60,69.3,7851,6,5,2002,2002,108.58,625,0,235,860,860,1100,0,1960,1,0,2,1,4,1,8,2,2002.0,2,440,288,48,0,0,0,0,0.0,0,5,2010,216500
853,75,53.0,7128,7,5,1941,1950,0.0,364,0,554,918,918,728,0,1646,0,0,2,0,4,1,7,2,1941.0,1,240,0,0,0,0,126,0,0.0,0,8,2007,164000
1131,50,65.0,7804,4,3,1928,1950,0.0,622,0,500,1122,1328,653,0,1981,1,0,2,0,4,1,7,2,1981.0,2,576,431,44,0,0,0,0,0.0,0,12,2009,135000
610,20,61.0,7943,4,5,1961,1961,192.0,903,0,126,1029,1029,0,0,1029,1,0,1,0,3,1,5,0,1961.0,1,261,64,0,39,0,0,0,0.0,0,4,2007,118500
1080,20,65.0,8775,5,5,1994,1994,0.0,495,0,495,990,990,0,0,990,0,0,1,0,3,1,5,0,1996.0,1,299,0,64,0,0,0,0,0.0,0,4,2007,126000
954,60,69.3,11075,5,4,1969,1969,232.0,562,193,29,784,1168,800,0,1968,0,1,2,1,4,1,7,1,1969.0,2,530,305,189,0,0,0,0,0.0,400,9,2008,172000
329,75,69.3,11888,6,6,1916,1994,0.0,0,0,844,844,1445,689,0,2134,0,0,2,0,5,1,10,0,1930.0,2,441,0,60,268,0,0,0,0.0,0,7,2009,214500
333,20,85.0,10655,8,5,2003,2004,296.0,1124,479,1603,3206,1629,0,0,1629,1,0,2,0,3,1,7,1,2003.0,3,880,0,0,0,0,0,0,0.0,0,10,2009,284000
946,50,98.0,8820,5,6,1890,1996,0.0,1088,0,0,1088,1188,561,120,1869,0,0,1,0,2,1,7,0,1963.0,2,456,48,0,244,0,0,0,0.0,0,9,2009,124900
702,20,80.0,9600,7,5,1969,1969,168.0,0,0,1164,1164,1164,0,0,1164,0,0,1,1,3,1,6,0,1969.0,2,528,0,0,0,0,0,0,0.0,0,7,2006,140000
505,160,24.0,2308,6,5,1974,1974,0.0,257,495,103,855,855,467,0,1322,0,1,2,1,3,1,6,1,1974.0,2,440,260,0,0,0,0,0,0.0,0,6,2009,147000
